Rang;n° rue;Nom rue;Code postal;Ville;Date création;Nom société;APE;Catégorie;Nbr employé;Mise à jour;Date finance;Revenu;Profit
1243;33;RUE D ISLY;59000;LILLE;1981;RESTAURANT PIZZERIA LA TRAMONTANA;5610A;Restauration traditionnelle;10;2010-01-11T00:00:00;31/12/2015;1093805;82895
1244;7;RUE DE TREVISE;59000;LILLE;2015;LES JULES;9609Z;Autres services personnels n.c.a.;10;2015-04-28T00:00:00;31/12/2015;1093072;35852
1245;49;BOULEVARD DE STRASBOURG;59000;LILLE;2011;LOOKING FOR MISSION;6202A;Conseil en systèmes et logiciels informatiques;6;2011-08-04T00:00:00;31/12/2015;1092589;191401
1246;7;RUE DE TENREMONDE;59800;LILLE;2006;PIERRES & TERRITOIRES DE FRANCE NORD-LOTISSEMENT;4110D;Supports juridiques de programmes;0;2015-01-21T00:00:00;31/12/2015;1092562;-25451
1247;63;RUE BASSE;59800;LILLE;2012;CONSULTING STRATEGIE COMMERCE;7022Z;Conseil pour les affaires et autres conseils de gestion;0;2016-09-14T00:00:00;31/12/2015;1091590;244388
1248;7;RUE DE LA VIEILLE COMEDIE;59800;LILLE;2002;SARL GENERATION L.D;4772A;Commerce de détail de la chaussure;7;2002-10-02T00:00:00;31/03/2015;1089241;34045
1249;1;RUE DES MOLFONDS;59800;LILLE;1994;CHEZ ARMAND;5610A;Restauration traditionnelle;12;2014-10-10T00:00:00;31/12/2015;1082013;77116
1250;21;AVENUE LE CORBUSIER;59800;LILLE;2015;INSITEO;6201Z;Programmation informatique;10;2015-03-10T00:00:00;31/12/2015;1080628;210630
1251;7;RUE JEAN BAPTISTE DUMAS;59160;LILLE;2009;A. NOVAREZE ET FILS;2562B;Mécanique industrielle;10;2015-09-05T00:00:00;31/12/2015;1077099;68551
1252;594;AVENUE WILLY BRANDT;59777;LILLE;2011;RABOT DUTILLEUL HOLDING;7010Z;Activités des sièges sociaux;3;2015-07-04T00:00:00;31/12/2015;1074684;1079777
1253;37;RUE ERNEST DECONYNCK;59800;LILLE;1990;DEROTRONIC;2611Z;Fabrication de composants électroniques;10;2016-01-28T00:00:00;31/07/2015;1072320;-60353
1254;35;RUE ERNEST DECONYNCK;59800;LILLE;1999;DEROTRONIC;2611Z;Fabrication de composants électroniques;10;1999-08-27T00:00:00;31/07/2015;1072320;-60353
1255;60;RUE CASIMIR DELAVIGNE;59000;LILLE;1961;ETABLISSEMENTS DEVEQUE;4674A;Commerce de gros (commerce interentreprises) de quincaillerie;6;2015-05-29T00:00:00;31/12/2015;1061053;-49907
1256;5;RUE THIERS;59800;LILLE;2015;SARL EMG;7112B;Ingénierie, études techniques;0;2016-01-13T00:00:00;31/12/2015;1060402;2953
1257;16;FACADE DE L ESPLANADE;59800;LILLE;2012;RYU WOK;5610C;Restauration de type rapide;10;2012-04-26T00:00:00;30/09/2015;1058079;36243
1258;79;RUE DES POSTES;59000;LILLE;2006;DEMENAGEMENTS LADUREAU-DEFFONTAINES;4942Z;Services de déménagement;10;2006-04-04T00:00:00;31/12/2015;1056555;1888
1259;6;RUE DU CURE ST ETIENNE;59800;LILLE;1998;FATEDIS;4729Z;Autres commerces de détail alimentaires en magasin spécialisé;6;2009-10-14T00:00:00;30/06/2015;1056276;120516
1260;45;RUE DU MOLINEL;59800;LILLE;1996;SOLEIL VOYAGES SOLEIL TOURS;7911Z;Activités des agences de voyage;14;2008-03-31T00:00:00;31/12/2015;1050822;92833
1261;7;RUE JACQUEMARS GIELEE;59800;LILLE;1997;S.P.I.D. - SOCIETE POUR L'INVESTISSEMENT ET LE DEVELOPPEMENT.;6420Z;Activités des sociétés holding;3;2015-09-16T00:00:00;31/08/2015;1040116;1106479
1262;11;PLACE DU THEATRE;59800;LILLE;2005;SARL BENOIT CHOCOLATIER;1082Z;Fabrication de cacao, chocolat et de produits de confiserie;6;2014-01-24T00:00:00;31/05/2015;1038870;120836
1263;77;RUE DE LA MONNAIE;59800;LILLE;1990;SARL BENOIT CHOCOLATIER;1082Z;Fabrication de cacao, chocolat et de produits de confiserie;6;2016-01-28T00:00:00;31/05/2015;1038870;120836
1264;130;BOULEVARD DE LA LIBERTE;59800;LILLE;2015;HELIO CHARLEROI FRANCE;4690Z;Commerce de gros (commerce interentreprises) non spécialisé;6;2015-10-15T00:00:00;31/12/2015;1038550;23801
1265;390;RUE LEON GAMBETTA;59000;LILLE;2004;PIERRE THOREZ AU PAVE DES FLANDRES;1071D;Pâtisserie;10;2015-04-04T00:00:00;30/06/2015;1037647;50134
1266;369;AVENUE DE DUNKERQUE LOMME;59160;LILLE;1998;PIERRE THOREZ AU PAVE DES FLANDRES;1071D;Pâtisserie;10;2004-08-26T00:00:00;30/06/2015;1037647;50134
1267;25;RUE DESCHODT;59800;LILLE;2004;PIERRE THOREZ AU PAVE DES FLANDRES;1071D;Pâtisserie;10;2007-04-04T00:00:00;30/06/2015;1037647;50134
1268;130;BOULEVARD DE LA LIBERTE;59800;LILLE;2015;COEMAN PACKAGING;4669B;Commerce de gros de fournitures et équipements industriels divers;5;2016-09-08T00:00:00;31/03/2015;1037292;329876
1269;44;RUE DE MARQUILLIES;59000;LILLE;2011;PERIGNY HOTTON ASSOCIES;6622Z;Activités des agents et courtiers d'assurances;10;2011-02-10T00:00:00;31/12/2015;1029191;377710
1270;16;RUE BLANCHE;59800;LILLE;2009;SARL CHATHO;4791B;Vente à  distance sur catalogue spécialisé;1;2012-01-01T00:00:00;31/03/2015;1029125;5913
1271;130;BOULEVARD DE LA LIBERTE;59800;LILLE;2015;TASCO SARL;4741Z;Comm. détail ordinateurs unités périph. & logiciels (magas. spéc);0;2016-08-18T00:00:00;31/12/2015;1023749;32373
1272;21;AVENUE FOCH;59800;LILLE;2011;ACCIS;7112B;Ingénierie, études techniques;17;2016-03-04T00:00:00;30/06/2015;1023451;100764
1273;3;RUE DU DOCTEUR HUART;59260;LILLE;2014;TAXI UNION;8299Z;Autres activités de soutien aux entreprises n.c.a.;6;2016-06-16T00:00:00;31/12/2015;1021205;1301
1274;1;RUE JULES NOUTOUR;59160;LILLE;2013;AGENCE CREATION LOGISITIQUE INTERIEURE VERCOUTERE ASSOCIES;7410Z;Activités spécialisées de design;1;2015-04-04T00:00:00;30/09/2015;1020543;175477
1275;10;AVENUE FOCH;59800;LILLE;1993;SOC EXPLOIT GOLF AVESNOIS MORVAL;9311Z;Gestion d'installations sportives;12;2016-11-22T00:00:00;31/12/2015;1019831;25371
1276;154;RUE NATIONALE;59800;LILLE;1995;SARL LEO;4741Z;Comm. détail ordinateurs unités périph. & logiciels (magas. spéc);6;2007-03-01T00:00:00;30/06/2015;1017884;69223
1277;8;BOULEVARD VAUBAN;59800;LILLE;2006;VAUBAN HUMANIS CONSEIL;6622Z;Activités des agents et courtiers d'assurances;;2015-05-03T00:00:00;31/12/2015;1017352;176779
1278;37;RUE JULES GUESDE LOMME;59160;LILLE;1992;CONTROLE AUTOMOBILE WAVRINOIS SA;7120A;Contrà´le technique automobile;10;2015-04-04T00:00:00;31/12/2015;1012670;49892
1279;599;AVENUE DE DUNKERQUE LOMME;59160;LILLE;2014;MABELLE AUTO;4520A;Entretien et réparation de véhicules automobiles légers;1;2014-07-15T00:00:00;31/12/2015;1011451;-26557
1280;25;RUE ST JACQUES;59800;LILLE;2016;ADIX;7022Z;Conseil pour les affaires et autres conseils de gestion;10;2016-07-06T00:00:00;31/05/2015;1009400;156982
1281;116;RUE SAINT ANDRE;59800;LILLE;2001;SARL TOM ET LOUIS;5610A;Restauration traditionnelle;10;2014-12-31T00:00:00;31/12/2015;1007754;-9659
1282;116;RUE SAINT ANDRE;59800;LILLE;2001;SARL TOM ET LOUIS;5610A;Restauration traditionnelle;10;2014-12-31T00:00:00;31/12/2015;1007754;-9659
1283;8;RUE ARMAND CARREL;59000;LILLE;2010;MV2 ARCHITECTES;7111Z;Activités d'architecture;6;2010-11-09T00:00:00;31/12/2015;1006918;151075
1284;4;AVENUE FOCH;59800;LILLE;2010;HIKARI;5911A;Production de films et de programmes pour la télévision;8;2016-01-15T00:00:00;31/12/2015;1004690;12601
1285;6;RUE GOSSELET;59000;LILLE;2012;"GOSSELET MUSIQUE DANSE ""G.M.D""";5630Z;Débits de boissons;7;2016-08-25T00:00:00;31/12/2015;1003527;82303
1286;251;RUE LEON GAMBETTA;59000;LILLE;2005;MARLEA;4778A;Commerces de détail d'optique;1;2006-01-23T00:00:00;31/12/2015;1003226;188164
1287;89;RUE DE LA MONNAIE;59800;LILLE;1997;OHM;4753Z;Comm. détail tapis, moquettes & revàªts murs & sols (magas. spéc.);3;1999-01-11T00:00:00;31/12/2015;1003208;-15014
1288;95;RUE DE LA MONNAIE;59800;LILLE;1996;OHM;4753Z;Comm. détail tapis, moquettes & revàªts murs & sols (magas. spéc.);3;2016-01-25T00:00:00;31/12/2015;1003208;-15014
1289;20;RUE DE L EUROPE LOMME;59160;LILLE;2012;SARL CARO CONFORT;4673A;Commerce de gros de bois et de matériaux de construction;3;2013-02-10T00:00:00;31/12/2015;995474;25791
1290;134;RUE DE PRAGUE;59777;LILLE;2013;LA COENTREPRISE DE CONSEIL EN STRATEGIE;7022Z;Conseil pour les affaires et autres conseils de gestion;0;2015-03-01T00:00:00;31/12/2015;985877;33006
1291;110;RUE JACQUARD LOMME;59160;LILLE;1990;LOUBERT SARL;4120B;Construction d'autres bâtiments;6;2016-06-10T00:00:00;31/07/2015;983330;78310
1292;;RUE DES TROIS MOLLETTES;59800;LILLE;2004;ETS ROUSSEAU FRERES;4647Z;Commerce de gros de meubles, de tapis et d'appareils d'éclairage;6;2004-11-16T00:00:00;31/12/2015;982140;54033
1293;5;RUE DE CAMBRAI;59000;LILLE;2004;SADEB;4322B;Travaux d'installation équipements thermiques et climatisation;6;2004-12-09T00:00:00;31/03/2015;981771;1042
1294;33;PLACE LOUISE DE BETTIGNIES;59800;LILLE;2008;SOUTHERN CROSS BEVERAGES;4634Z;Commerce de gros (commerce interentreprises) de boissons;1;2014-10-17T00:00:00;31/12/2015;975826;78272
1295;26;RUE DES BOUCHERS;59800;LILLE;2002;SARL BERNARD;1071C;Boulangerie et boulangerie-pâtisserie;10;2002-06-24T00:00:00;31/12/2015;971996;65152
1296;30;RUE ANATOLE FRANCE;59000;LILLE;2015;PLANETT FLANDRES;7820Z;Activités des agences de travail temporaire;31;2015-11-09T00:00:00;30/06/2015;968837;42
1297;5;RUE DU PLAT;59800;LILLE;2013;AMOS LILLE;8559B;Autres enseignements;6;2014-02-23T00:00:00;30/06/2015;960593;55354
1298;17;RUE DU NOUVEAU SIECLE;59800;LILLE;2000;VIP SARL;8559A;Formation continue d'adultes;20;2016-07-19T00:00:00;30/06/2015;957088;42483
1299;7;RUE JEANNE D ARC;59000;LILLE;2010;LOWCALBAT;4329A;Travaux d'isolation;1;2015-06-26T00:00:00;31/12/2015;956611;104112
1300;115;RUE PIERRE LEGRAND;59800;LILLE;1998;MEGAFETE;4778C;Autres commerces de détail spécialisés divers;10;2015-06-13T00:00:00;31/08/2015;954317;-18608
1301;3;RUE BAYARD;59000;LILLE;2007;TURBEZ-LENGLART;6920Z;Activités comptables;11;2016-12-21T00:00:00;30/09/2015;954259;69026
1302;25;RUE MARCEL BAVYE;59160;LILLE;2008;SARL ALLO TAXI;9609Z;Autres services personnels n.c.a.;1;2014-01-27T00:00:00;30/06/2015;954245;14155
1303;588;AVENUE DE DUNKERQUE LOMME;59160;LILLE;2009;SARL CARILLON;2512Z;Fabrication de portes et fenàªtres en métal;6;2009-12-03T00:00:00;31/12/2015;953848;55001
1304;253;BOULEVARD DE LEEDS;59777;LILLE;2010;WESTPOINT CARRIERES MANAGEMENT;7022Z;Conseil pour les affaires et autres conseils de gestion;0;2011-01-11T00:00:00;31/12/2015;950235;9828
1305;68;RUE JULES FERRY HELLEMMES;59260;LILLE;2005;T.E.R.;4941B;Transports routiers de fret de proximité;20;2015-06-13T00:00:00;31/12/2015;949628;81624
1306;36;RUE DE MARQUILLIES;59000;LILLE;1997;ECLAIR SECURITE;3314Z;Réparation d'équipements électriques;12;1997-04-29T00:00:00;31/07/2015;949500;64423
1307;23;RUE DES FOSSES;59800;LILLE;1983;LE CYCLOPE;5610A;Restauration traditionnelle;11;1992-03-02T00:00:00;31/03/2015;948401;51806
1308;65;RUE JACQUEMARS GIELEE;59800;LILLE;2004;HD COMMUNICATION;7021Z;Conseil en relations publiques et communication;10;2004-12-20T00:00:00;31/12/2015;941944;48874
1309;38;RUE DE LA CLEF;59800;LILLE;2003;EURL DUCROCQ BIJOUTERIE;4777Z;Comm. détail d'articles horlogerie & bijouterie (magas. spéc.);19;2003-09-04T00:00:00;31/03/2015;940130;-15550
1310;440;RUE DU FAUBOURG D'ARRAS;59000;LILLE;2016;SO' GEROUEST;4730Z;Commerce de détail de carburants en magasin spécialisé;13;2016-10-04T00:00:00;31/12/2015;939568;19040
1311;17;PLACE DE BETHUNE;59800;LILLE;2003;LE BROC';5610A;Restauration traditionnelle;12;2014-03-05T00:00:00;30/09/2015;938202;35776
1312;115;RUE DU GRAND BUT LOMME;59160;LILLE;2010;SARL SCANNER DE LA PORTE DES FLANDRES;8622A;Activités de radiodiagnostic et de radiothérapie;7;2014-03-04T00:00:00;31/12/2015;937789;-280922
1313;92;RUE ROYALE;59800;LILLE;1993;SOC PRESTATION GESTION IMMOBILIERE;6832A;Administration d'immeubles et autres biens immobiliers;6;1994-01-04T00:00:00;30/09/2015;936401;424836
1314;29;RUE DE LA CLEF;59800;LILLE;2015;M A G 3;4771Z;Commerce de détail d'habillement en magasin spécialisé;6;2016-07-09T00:00:00;31/12/2015;933361;93050
1315;79;RUE WINSTON CHURCHILL LOMME;59160;LILLE;2006;KAPPA COMMUNICATION;7311Z;Activités des agences de publicité;1;2007-07-22T00:00:00;31/03/2015;933262;54452
1316;30;RUE LEPELLETIER;59800;LILLE;2002;D & G;5610A;Restauration traditionnelle;10;2014-08-22T00:00:00;31/07/2015;933050;55196
1317;11;PARVIS DE ROTTERDAM;59777;LILLE;2015;FINASSUR ADP;6622Z;Activités des agents et courtiers d'assurances;0;2016-10-13T00:00:00;31/12/2015;932848;241424
1318;;CTRE COMMERCIAL EURALILLE;59777;LILLE;2010;CDG;9311Z;Gestion d'installations sportives;6;2013-08-27T00:00:00;31/12/2015;932318;100792
1319;12;RUE DU VIEUX FAUBOURG;59800;LILLE;2016;FIDUCIM;6810Z;Activités des marchands de biens immobiliers;1;2016-07-18T00:00:00;31/12/2015;931087;111874
1320;57;RUE DE BETHUNE;59800;LILLE;1989;SARL NORD EST;4777Z;Comm. détail d'articles horlogerie & bijouterie (magas. spéc.);1;2009-07-10T00:00:00;31/12/2015;929246;9226
1321;6;RUE DE LOOS;59000;LILLE;1985;W.D.L. SA;4673B;Commerce de gros d'appareils sanitaires et produits de décoration;6;2013-10-25T00:00:00;31/03/2015;928996;186678
1322;130;BOULEVARD DE LA LIBERTE;59800;LILLE;2015;LA SIGNALISATION INDUSTRIELLE;4669C;Comm. gros de fournitures & équipts divers pour commerces & sces;3;2016-05-19T00:00:00;31/03/2015;927206;38019
1323;50;RUE NATIONALE;59800;LILLE;2000;HOLDING RENARD INVESTMENT;6420Z;Activités des sociétés holding;7;2016-12-27T00:00:00;31/12/2015;925377;62084
1324;57;RUE DE BETHUNE;59800;LILLE;1996;MISTER BED LILLE;5510Z;Hà´tels et hébergement similaire;7;2015-09-03T00:00:00;31/12/2015;925301;-20120
1325;16;RUE FAIDHERBE;59000;LILLE;1993;PAGE9 SARL;7111Z;Activités d'architecture;10;2012-11-26T00:00:00;31/12/2015;921883;-49650
1326;101;RUE NATIONALE;59800;LILLE;2015;VALOFI;6622Z;Activités des agents et courtiers d'assurances;20;2016-02-28T00:00:00;31/03/2015;920961;125001
1327;34;RUE DRUELLE;59000;LILLE;2012;SOPHIE RENVERSEZ ARCHITECTURE;7111Z;Activités d'architecture;6;2012-08-27T00:00:00;31/12/2015;918551;79464
1328;2;ALLEE DE LA HAYE DU TEMPLE;59000;LILLE;2015;G5K FRANCE;6201Z;Programmation informatique;14;2016-10-23T00:00:00;30/09/2015;917667;112399
1329;942;AVENUE DE DUNKERQUE LOMME;59160;LILLE;2006;MEDICAL PLUS SARL;7729Z;Location et location-bail autres biens personnels et domestiques;7;2007-02-27T00:00:00;30/04/2015;913052;12684
1330;681;AVENUE DE LA REPUBLIQUE;59800;LILLE;2015;THE FIRM SALES;7021Z;Conseil en relations publiques et communication;3;2016-12-22T00:00:00;31/12/2015;910778;-111587
1331;;RUE DE L ARBRISSEAU;59000;LILLE;2006;BST DEMENAGEMENTS;4942Z;Services de déménagement;10;2008-08-07T00:00:00;31/12/2015;902907;49655
1332;46;RUE DES CANONNIERS;59800;LILLE;2005;IN EXTENSO NORD AUDIT;6920Z;Activités comptables;;2014-02-25T00:00:00;31/05/2015;900717;-1748
1333;111;RUE DE PRAGUE;59777;LILLE;;ITALILLE;5610A;Restauration traditionnelle;10;2012-01-27T00:00:00;31/03/2015;899314;66463
1334;201;RUE DES BOIS BLANCS;59000;LILLE;2008;EURL JEAN DE BUSSCHERE;4334Z;Travaux de peinture et vitrerie;6;2012-02-05T00:00:00;30/06/2015;897815;91519
1335;16;RUE DE LA VIEILLE COMEDIE;59800;LILLE;2010;WALOUX;4642Z;Commerce de gros d'habillement et de chaussures;3;2012-01-25T00:00:00;28/02/2015;896651;128577
1336;6;RUE DE LA BARRE;59800;LILLE;1994;AU PAVE LILLOIS;5621Z;Services des traiteurs;10;2016-03-24T00:00:00;31/05/2015;895730;104062
1337;74;RUE DES ARTS;59800;LILLE;2016;WINDATACO;6203Z;Gestion d'installations informatiques;10;2016-08-22T00:00:00;31/12/2015;895071;108212
1338;143;RUE D ATHENES;59000;LILLE;2016;SOVITRAT 02;7820Z;Activités des agences de travail temporaire;5;2016-09-20T00:00:00;31/12/2015;893583;105537
1339;144;RUE NATIONALE;59800;LILLE;2010;CLEOFI;7739Z;Location et location-bail machines, équipements et biens divers;;2010-12-28T00:00:00;31/12/2015;891945;7617
1340;7;RUE DE COURTRAI;59800;LILLE;2002;CABINET MAES;6820A;Location de logements;10;2016-07-08T00:00:00;31/12/2015;888537;100014
1341;253;BOULEVARD DE LEEDS;59777;LILLE;2013;BEAMEX;4669A;Commerce de gros de matériel électrique;3;2015-09-13T00:00:00;31/12/2015;886492;28344
1342;88;RUE DU PORT;59800;LILLE;2013;LASER GAME COMMUNICATION;7311Z;Activités des agences de publicité;3;2013-09-25T00:00:00;31/12/2015;885689;69802
1343;199;RUE COLBERT;59000;LILLE;1986;MAPAP;6202A;Conseil en systèmes et logiciels informatiques;10;2009-11-18T00:00:00;31/03/2015;884038;1525
1344;3;PLACE DE STRASBOURG;59800;LILLE;2014;PARMENTIER & VERGES ASSURANCES;6622Z;Activités des agents et courtiers d'assurances;3;2015-05-19T00:00:00;31/12/2015;884013;59062
1345;2;RUE CHAMBRE DES COMPTES;59800;LILLE;2010;S P C;4759A;Commerce de détail de meubles;4;2010-02-18T00:00:00;31/12/2015;883603;14915
1346;30;PLACE PHILIPPE LEBON;59000;LILLE;1996;TIR NA NOG;5630Z;Débits de boissons;6;2013-12-20T00:00:00;31/12/2015;879687;44771
1347;142;AVENUE ARTHUR NOTEBART;59160;LILLE;2007;L Y D;5610A;Restauration traditionnelle;6;2009-03-16T00:00:00;31/12/2015;879680;51574
1348;160;RUE SOLFERINO;59000;LILLE;2007;L Y D;5610A;Restauration traditionnelle;6;2016-03-18T00:00:00;31/12/2015;879680;51574
1349;;RUE EMILE ROUZE;59000;LILLE;2009;SELECT DISTRIBUTION;4941A;Transports routiers de fret interurbains;6;2016-12-08T00:00:00;31/12/2015;878630;1022
1350;78;RUE NATIONALE;59800;LILLE;2009;SOCIETE FRANCAISE D'ENSEIGNEMENT ET DE FORMATION;8531Z;Enseignement secondaire général;20;2011-02-13T00:00:00;31/07/2015;878401;120847
1351;15;PLACE PIERRE MENDES FRANCE;59800;LILLE;2005;SARL FERME BRABANT;4729Z;Autres commerces de détail alimentaires en magasin spécialisé;8;2010-04-06T00:00:00;31/12/2015;875736;37585
1352;7;BOULEVARD LOUIS XIV;59800;LILLE;2006;SLAD - SOCIETE LILLOISE D'AIDE A DOMICILE;8810A;Aide à  domicile;36;2016-08-03T00:00:00;31/12/2015;875497;37495
1353;53;RUE CHRISTOPHE COLOMB;59800;LILLE;2014;LHG LILLE;5510Z;Hà´tels et hébergement similaire;10;2015-03-12T00:00:00;31/12/2015;875182;-118102
1354;4;PLACE RICHEBE;59800;LILLE;1995;COURTAGE CREDIT MUTUEL NORD EUROPE;6622Z;Activités des agents et courtiers d'assurances;1;2014-11-25T00:00:00;31/12/2015;870043;281070
1355;128;RUE DU FAUBOURG DE DOUAI;59000;LILLE;2003;SOCIETE EUROPEENNE D'ETUDES ET DE REALISATIONS EN TUYAUTERIES INDUSTRIELLES;3320A;Installation structures métalliques, chaudronnées et tuyauterie;10;2009-11-18T00:00:00;31/12/2015;868613;-77219
1356;79;RUE DE CONDE;59000;LILLE;1994;SOCIETE EUROPEENNE D'ETUDES ET DE REALISATIONS EN TUYAUTERIES INDUSTRIELLES;3320A;Installation structures métalliques, chaudronnées et tuyauterie;10;2000-03-07T00:00:00;31/12/2015;868613;-77219
1357;9;RUE SAINT GABRIEL;59800;LILLE;2002;NORD PIANO;4759B;Commerce de détail d'autres équipements du foyer;3;2010-03-10T00:00:00;30/06/2015;867956;33825
1358;8;RUE DE PAS;59800;LILLE;1993;FLAM'S LILLE;5610A;Restauration traditionnelle;11;2000-11-16T00:00:00;31/12/2015;864700;-2731
1359;3;RUE SAINT ETIENNE;59800;LILLE;2000;FLAM'S LILLE;5610A;Restauration traditionnelle;11;2008-01-25T00:00:00;31/12/2015;864700;-2731
1360;16;PLACE DU GENERAL DE GAULLE;59800;LILLE;2004;STAS FRANCE;4618Z;Interm. spécialisés commerce d'autres produits spécifiques;0;2016-02-24T00:00:00;30/09/2015;863058;117871
1361;104;RUE NATIONALE;59800;LILLE;1996;STAS FRANCE;4618Z;Interm. spécialisés commerce d'autres produits spécifiques;0;2004-07-07T00:00:00;30/09/2015;863058;117871
1362;50;RUE GUSTAVE DELORY;59000;LILLE;2012;SNOWRENTAL INTERNATIONAL;7721Z;Location et location-bail d'articles de loisirs et de sport;;2013-01-09T00:00:00;30/06/2015;862894;4684
1363;15;PLACE DE LA GARE;59800;LILLE;1992;EURO SPECIALES BIERES;5610A;Restauration traditionnelle;16;2016-10-11T00:00:00;31/03/2015;862080;-86
1364;14;RUE DU VIEUX FAUBOURG;59800;LILLE;2001;HOMMES STRATEGIE DROIT-ERNST & YOUNG;6820B;Location de terrains et d'autres biens immobiliers;50;2005-04-27T00:00:00;30/06/2015;861528;314267
1365;777;PONTDES FLANDRES;59350;LILLE;2016;LE SPA DES NEIGES;9602B;Soins de beauté;10;2016-11-30T00:00:00;30/06/2015;859020;-1284
1366;16;RUE DE PAS;59800;LILLE;1999;CLEMENT MAROT;5610A;Restauration traditionnelle;6;2013-03-21T00:00:00;30/06/2015;854533;23409
1367;71;BOULEVARD DE LA LIBERTE;59800;LILLE;2004;HOLDING LBHJ;6420Z;Activités des sociétés holding;6;2016-08-26T00:00:00;31/12/2015;854171;32920
1368;115;RUE NATIONALE;59800;LILLE;2015;FORMATION HOMMES COMPETENCES CONSEIL;7022Z;Conseil pour les affaires et autres conseils de gestion;6;2016-02-02T00:00:00;31/12/2015;853561;26521
1369;102;RUE DE MARQUILLIES;59000;LILLE;1993;ETS VAN LAECKE;4520A;Entretien et réparation de véhicules automobiles légers;8;2013-11-07T00:00:00;31/12/2015;853492;54303
1370;70;RUE NATIONALE;59800;LILLE;2013;MJ VITALI T;5610C;Restauration de type rapide;8;2013-09-16T00:00:00;30/06/2015;853251;64415
1371;163;AVENUE DE LA BRETAGNE;59000;LILLE;2014;ONYME;6202A;Conseil en systèmes et logiciels informatiques;10;2016-12-29T00:00:00;31/12/2015;851521;117186
1372;78;AVENUE DU PRESIDENT KENNEDY;59800;LILLE;2010;LILLE METROPOLE BASKET SASP - LMB SASP;9311Z;Gestion d'installations sportives;15;2015-07-12T00:00:00;30/06/2015;850413;36898
1373;32;RUE DE GAND;59800;LILLE;2011;DELTIENNE;5610A;Restauration traditionnelle;10;2011-08-25T00:00:00;30/06/2015;844819;107535
1374;13;RUE DE LA BOURSE;59800;LILLE;1958;JOAILLERIE PERREUX ET COMPAGNIE;4777Z;Comm. détail d'articles horlogerie & bijouterie (magas. spéc.);2;2005-08-29T00:00:00;30/06/2015;844618;143
1375;36;ZAMIN 2EME AVENUE;59160;LILLE;2008;NORD CHAUFFAGE SERVICES;4322B;Travaux d'installation équipements thermiques et climatisation;10;2015-07-04T00:00:00;30/09/2015;844545;29932
1376;26;RUE DES PONTS DE COMINES;59800;LILLE;1985;OBJECTIF 21;5914Z;Projection de films cinématographiques;6;2016-11-23T00:00:00;31/12/2015;844201;54270
1377;;RUE DU GRAND BUT LOMME;59160;LILLE;2009;P.Y.L. OPTIQUE;4778A;Commerces de détail d'optique;3;2015-06-11T00:00:00;28/02/2015;842778;83616
1378;;PTE DE GAND;59800;LILLE;1997;LA TERRASSE DES REMPARTS;5610A;Restauration traditionnelle;10;2015-07-04T00:00:00;31/08/2015;838381;-38007
1379;53;RUE FAIDHERBE;59000;LILLE;2015;GRAND HOTEL LILLE;5510Z;Hà´tels et hébergement similaire;3;2015-07-29T00:00:00;31/12/2015;834954;-23711
1380;51;RUE FAIDHERBE;59000;LILLE;2013;GRAND HOTEL LILLE;5510Z;Hà´tels et hébergement similaire;3;2014-12-03T00:00:00;31/12/2015;834954;-23711
1381;4;RUE DU CHATEAU;59800;LILLE;2007;PARALLELE;7111Z;Activités d'architecture;6;2008-11-30T00:00:00;31/12/2015;831236;102656
1382;102;RUE DE CANTELEU;59000;LILLE;1992;A.C.E - S.O.F.E.C;6920Z;Activités comptables;6;2014-01-16T00:00:00;30/09/2015;830749;55382
1383;62;RUE ESQUERMOISE;59800;LILLE;1957;TIRLOY PERE ET FILS;4761Z;Commerce de détail de livres en magasin spécialisé;3;2010-08-20T00:00:00;31/07/2015;830461;5797
1384;521;BOULEVARD DU PRESIDENT HOOVER;59000;LILLE;2010;ECOTERA DEVELOPPEMENT;7490B;Activités spécialisées, scientifiques et techniques diverses;9;2016-12-15T00:00:00;31/12/2015;828945;190845
1385;8;RUE MAL DE LATTRE DE TASSIGNY;59800;LILLE;2013;A 2000;4332A;Travaux de menuiserie bois et PVC;6;2013-05-17T00:00:00;31/12/2015;827890;390
1386;2;RUE PRINCESSE;59800;LILLE;2013;LE COMPTOIR DES OENOPHILES;7311Z;Activités des agences de publicité;20;2014-03-06T00:00:00;31/05/2015;826722;12145
1387;20;RUE DE THUMESNIL;59000;LILLE;2011;CREAFI;8559A;Formation continue d'adultes;41;2016-09-04T00:00:00;31/12/2015;825197;-58875
1388;34;RUE BASSE;59800;LILLE;2013;HO.CO.VA.;4771Z;Commerce de détail d'habillement en magasin spécialisé;3;2014-02-16T00:00:00;31/07/2015;819673;-73636
1389;4;RUE DES TROIS MOLLETTES;59800;LILLE;2014;HO.CO.VA.;4771Z;Commerce de détail d'habillement en magasin spécialisé;3;2015-03-06T00:00:00;31/07/2015;819673;-73636
1390;7;PARVIS ST MAURICE;59800;LILLE;1983;SCOOP LINE;9602A;Coiffure;10;2008-09-04T00:00:00;31/12/2015;818807;116955
1391;51;RUE MARCEL HENAUX;59000;LILLE;2009;BSE TP BATIMENT SERVICE TRAVAUX PUBLICS;4399C;Travaux de maà§onnerie générale et gros oeuvre de bâtiment;10;2012-12-20T00:00:00;31/05/2015;818302;50476
